Id,TaskId,ProjectId,UserId,UserDiscipline,ProjectRule,TSDate,TSHour,Adjustments,AutoLoad
151109,4604,PRO-138-KAP,109,Architecture,Member,4/16/2022,4,0,6/13/2022 13:58
151110,4603,PRO-138-KAP,109,Architecture,Member,6/1/2022,8,0,6/13/2022 13:58
151111,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,4/1/2022,8,0,6/13/2022 13:58
151112,4606,PRO-139-PRIMAL GYM,208,Architecture,Member,4/2/2022,8,0,6/13/2022 13:58
151113,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/4/2022,8,0,6/13/2022 13:58
151114,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/5/2022,8,0,6/13/2022 13:58
151115,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/6/2022,8,0,6/13/2022 13:58
151116,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/7/2022,8,0,6/13/2022 13:58
151117,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/8/2022,8,0,6/13/2022 13:58
151118,4607,PRO-139-PRIMAL GYM,208,Architecture,Member,4/12/2022,8,0,6/13/2022 13:58
151119,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/1/2022,8,0,6/13/2022 13:58
151120,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/2/2022,8,0,6/13/2022 13:58
151121,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/4/2022,8,0,6/13/2022 13:58
151122,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/5/2022,8,0,6/13/2022 13:58
151123,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/6/2022,8,0,6/13/2022 13:58
151124,4606,PRO-139-PRIMAL GYM,258,Architecture,Member,4/7/2022,8,0,6/13/2022 13:58
151125,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/8/2022,8,0,6/13/2022 13:58
151126,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/12/2022,8,0,6/13/2022 13:58
151127,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/13/2022,8,0,6/13/2022 13:58
151128,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/14/2022,8,0,6/13/2022 13:58
151129,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/15/2022,8,0,6/13/2022 13:58
151130,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/16/2022,4,0,6/13/2022 13:58
151131,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/18/2022,8,0,6/13/2022 13:58
151132,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/19/2022,8,0,6/13/2022 13:58
151133,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/20/2022,8,0,6/13/2022 13:58
151134,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/21/2022,8,0,6/13/2022 13:58
151135,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/22/2022,8,0,6/13/2022 13:58
151136,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/25/2022,14,0,6/13/2022 13:58
151137,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/26/2022,12,0,6/13/2022 13:58
151138,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/27/2022,8,0,6/13/2022 13:58
151139,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/28/2022,8,0,6/13/2022 13:58
151140,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,4/29/2022,8,0,6/13/2022 13:58
151141,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/4/2022,8,0,6/13/2022 13:58
151142,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/5/2022,8,0,6/13/2022 13:58
151143,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/6/2022,10,0,6/13/2022 13:58
151144,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/7/2022,8,0,6/13/2022 13:58
151145,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/9/2022,11,0,6/13/2022 13:58
151146,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/10/2022,11,0,6/13/2022 13:58
151147,4607,PRO-139-PRIMAL GYM,258,Architecture,Member,5/11/2022,10.5,0,6/13/2022 13:58
151148,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/12/2022,11,0,6/13/2022 13:58
151149,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/13/2022,9.5,0,6/13/2022 13:58
151150,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/14/2022,11.5,0,6/13/2022 13:58
151151,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/16/2022,8,0,6/13/2022 13:58
151152,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/17/2022,10,0,6/13/2022 13:58
151153,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/30/2022,11,0,6/13/2022 13:58
151154,4608,PRO-139-PRIMAL GYM,258,Architecture,Member,5/31/2022,9,0,6/13/2022 13:58
